drug_name,moa,avg_delta_s_prime,gene_count,dbscan_cluster_label
colfosceril-palmitate,['pulmonary surfactant'],-1.7244078277951806,798,-1
lidamidine,['adrenergic receptor agonist'],-1.6562376217379045,599,2
bicalutamide,['androgen receptor antagonist'],-1.640509940097969,736,-1
cimetidine,['histamine receptor antagonist'],-1.6000681275182762,753,0
tiludronate,"['bone resorption inhibitor', ' osteoclast inhibitor']",-1.518926551704517,761,-1
KI-16425,['lysophosphatidic acid receptor antagonist'],-1.5128598766569066,899,-1
SB-525334,['TGF beta receptor inhibitor'],-1.4929069501401846,779,-1
clobutinol,['antitussive'],-1.3756696031735294,617,-1
itraconazole,['cytochrome P450 inhibitor'],-1.348297948683882,333,-1
camylofine-chlorhydrate,['None'],-1.3195497761488961,720,1
alogliptin,['dipeptidyl peptidase inhibitor'],-1.317463351272998,790,-1
octopamine,['trace amine associated receptor agonist'],-1.2742099484361844,800,-1
isoxsuprine,['adrenergic receptor agonist'],-1.2533694703918605,505,2
cyclovirobuxin-d,['calcium channel modulator'],-1.2407257893635963,798,-1
nafcillin,['bacterial cell wall synthesis inhibitor'],-1.2210419614114116,750,-1
nimorazole,['bacterial DNA inhibitor'],-1.1762234734028694,760,-1
nitisinone,['hydroxyphenylpyruvate dioxygenase inhibitor'],-1.1541634428025234,752,-1
thiamine,['vitamin B'],-1.139262570096842,766,-1
DMH1,['ALK tyrosine kinase receptor inhibitor'],-1.1269326079744009,838,-1
riluzole,['glutamate inhibitor'],-1.0885695276319185,796,-1
halofantrine,['antimalarial agent'],-1.0513004604196365,893,-1
sangivamycin,['DNA inhibitor'],-1.039012058044898,653,15
altretamine,['DNA synthesis inhibitor'],-1.0350228399143797,368,-1
dorzolamide,['carbonic anhydrase inhibitor'],-1.0176948142122677,684,-1
dihydroergocristine,"['adrenergic receptor antagonist', ' prolactin inhibitor']",-1.0050794047979457,801,-1
azodicarbonamide,['DNA synthesis inhibitor'],-0.9944571611190687,868,-1
aztreonam,['bacterial cell wall synthesis inhibitor'],-0.9783232286182424,837,-1
monobenzone,['melanin inhibitor'],-0.97104548944492,697,-1
BMS-599626,"['EGFR inhibitor', ' protein tyrosine kinase inhibitor']",-0.9638751531234101,820,-1
azathioprine,['dehydrogenase inhibitor'],-0.9595153170158859,849,-1
NSC-23766,['Ras GTPase inhibitor'],-0.9570619668286521,774,-1
mephenytoin,['hydantoin antiepileptic'],-0.9419782909756735,779,-1
roquinimex,"['angiogenesis inhibitor', ' tumor necrosis factor production inhibitor']",-0.9419205050274887,718,-1
ingenol-mebutate,['PKC activator'],-0.940753406742009,902,-1
mechlorethamine,['DNA inhibitor'],-0.9223062683167741,821,15
pentagastrin,['CCK receptor agonist'],-0.9180978028007709,763,-1
lafutidine,['histamine receptor antagonist'],-0.9064253670723984,851,0
saxagliptin,['dipeptidyl peptidase inhibitor'],-0.9021905494654759,855,-1
ftorafur,['thymidylate synthase inhibitor'],-0.8876927384457522,876,-1
zaldaride,['calmodulin antagonist'],-0.8730074431026906,905,-1
ornithine,['NFkB pathway modulator'],-0.8709779929605019,837,-1
terbutaline,['adrenergic receptor agonist'],-0.8521988932052891,785,2
cebranopadol,['opioid receptor agonist'],-0.8319652821877033,854,-1
UK-383367,['Procollagen C-Endopeptidase Inhibitors'],-0.8276631870841896,888,-1
estramustine-phosphate,"['DNA synthesis inhibitor', ' microtubule inhibitor']",-0.8215619494995731,677,-1
ispinesib,['kinesin inhibitor'],-0.8048874120615801,925,-1
methylprednisolone,['glucocorticoid receptor agonist'],-0.8014859080258459,798,3
GSK2656157,['PERK inhibitor'],-0.7950930607473732,826,-1
4-pyrimidinecarbonitrile,['None'],-0.7929898064463226,876,1
RAF265,"['RAF inhibitor', ' VEGFR inhibitor']",-0.7894092066025918,900,-1
AZD9668,['elastase inhibitor'],-0.775991370346011,853,-1
orotic-acid,['None'],-0.770891610764078,764,1
sevelamer,['phosphate antagonist'],-0.7607945410539703,789,-1
forskolin,['adenylyl cyclase activator'],-0.7579091202153855,757,-1
golgicide-a,['ARF inhibitor'],-0.7524312305237711,867,-1
leucovorin,['folate receptor ligand'],-0.7400899504522834,740,-1
AS-703026,['MEK inhibitor'],-0.737792718578224,925,4
tacrolimus,['calcineurin inhibitor'],-0.7347826547415283,859,-1
morin,['cytochrome P450 inhibitor'],-0.7142028087808615,802,-1
filanesib,"['kinesin inhibitor', ' kinesin-like spindle protein inhibitor']",-0.7115117021292153,898,-1
pazopanib,"['KIT inhibitor', ' PDGFR tyrosine kinase receptor inhibitor', ' VEGFR inhibitor']",-0.6951272681730806,919,-1
BAY-K-8644-(s)-(-),['L-type calcium channel activator'],-0.6920463949812498,777,-1
azomycin-(2-nitroimidazole),['protein synthesis inhibitor'],-0.6917446314928751,725,5
camptothecin,['topoisomerase inhibitor'],-0.6831450476985008,746,6
temoporfin,['radical formation stimulant'],-0.6752253474663571,925,-1
exatecan-mesylate,['topoisomerase inhibitor'],-0.6703978592947112,505,6
talmapimod,['p38 MAPK inhibitor'],-0.6679612976037056,925,-1
bendroflumethiazide,['sodium/potassium/chloride transporter inhibitor'],-0.665480500138911,773,-1
G-1,['G protein-coupled receptor agonist'],-0.6630706335429782,884,-1
SR-27897,['CCK receptor antagonist'],-0.6614993771918414,844,-1
eptifibatide,['platelet aggregation inhibitor'],-0.6595759318238149,694,-1
