driver_gene,target_gene,mean_drive_gene_ref_dep_score_for_target,mean_drive_gene_mut_dep_score_for_target,delta_rnai_dep_score_driver_and_target,ref_pool_cell_lines_for_driver,mut_pool_cell_lines_for_driver,ref_dep_score_observations_for_target,mut_dep_score_observations_for_target
TP53 (7157),A1BG (1),-0.0014207430648157983,-0.04539292041275258,-0.04397217734793678,19,89,19,89
TP53 (7157),A1CF (29974),-0.032725567829052,-0.06671144741427586,-0.03398587958522386,20,99,20,99
TP53 (7157),A2M (2),-0.09093456723610788,-0.13213260510862032,-0.041198037872512444,19,89,19,89
TP53 (7157),A2ML1 (144568),0.2785983745265631,0.24960679901802224,-0.028991575508540868,19,89,19,89
TP53 (7157),A4GALT (53947),0.014910827361494742,0.05064262025091473,0.035731792889419994,19,89,19,89
TP53 (7157),A4GNT (51146),-0.017098898037391574,-0.010736791392281548,0.0063621066451100255,19,89,19,89
TP53 (7157),AAAS (8086),-0.16595953838924332,-0.1330403017842031,0.03291923660504023,18,97,18,97
TP53 (7157),AACS (65985),0.005577237701375263,0.05437772534081908,0.04880048763944382,19,89,19,89
TP53 (7157),AADAC (13),0.035199323580184204,-0.00010839102629494232,-0.03530771460647915,19,89,19,89
TP53 (7157),AADACL2 (344752),-0.13517347185110076,-0.14270031637600133,-0.007526844524900572,12,78,12,78
TP53 (7157),AADACL4 (343066),0.018669338005691666,0.011338040591591509,-0.0073312974141001575,12,78,12,78
TP53 (7157),AADAT (51166),0.0358548263426,0.06998169510283482,0.03412686876023482,20,99,20,99
TP53 (7157),AAED1 (195827),0.066131376094525,0.06021704699944679,-0.005914329095078212,12,78,12,78
TP53 (7157),AAGAB (79719),-0.06781970428177252,-0.09042786691953356,-0.02260816263776104,12,78,12,78
TP53 (7157),AAK1 (22848),0.11541999159017753,0.07161672016271585,-0.04380327142746168,20,99,20,99
TP53 (7157),AAMDC (28971),-0.033646345731041666,-0.04487371316056511,-0.011227367429523447,12,47,12,47
TP53 (7157),AAMP (14),-0.5056999131776112,-0.41353927263199486,0.09216064054561635,18,97,18,97
TP53 (7157),AANAT (15),-0.034970272291565,-0.051849075651760765,-0.016878803360195767,20,99,20,99
TP53 (7157),AAR2 (25980),0.07809514765995583,0.0175959169565582,-0.06049923070339763,12,78,12,78
TP53 (7157),AARD (441376),0.27081956855107503,0.24760197476461926,-0.02321759378645577,12,78,12,78
TP53 (7157),AARS (16),-0.057832587038152625,-0.03275065852155088,0.025081928516601744,19,89,19,89
TP53 (7157),AARS2 (57505),-0.13583137121851485,-0.12489341468749224,0.010937956531022613,19,89,19,89
TP53 (7157),AASDH (132949),-0.025037518534209463,0.024585062962512762,0.049622581496722225,19,89,19,89
TP53 (7157),AASDHPPT (60496),0.1132262745954686,0.08309898552896312,-0.030127289066505483,19,89,19,89
TP53 (7157),AASS (10157),-0.10460652396320266,-0.05190030167335617,0.05270622228984649,19,89,19,89
TP53 (7157),AATF (26574),-0.34330101264375,-0.29244551043517975,0.05085550220857027,20,99,20,99
TP53 (7157),AATK (9625),-0.2033284695976,-0.22377730593258152,-0.020448836334981513,20,99,20,99
TP53 (7157),ABAT (18),0.02874053264712631,-0.01727623018242018,-0.04601676282954649,19,89,19,89
TP53 (7157),ABCA10 (10349),-0.13973838203088002,-0.15693170077068158,-0.017193318739801566,20,99,20,99
TP53 (7157),ABCA1 (19),-0.137256945483427,-0.08172766312248636,0.05552928236094065,20,99,20,99
TP53 (7157),ABCA11P (79963),0.05656832845767222,0.07699276903894316,0.020424440581270936,18,97,18,97
TP53 (7157),ABCA12 (26154),-0.06362278622859001,-0.10180806556467092,-0.038185279336080916,20,99,20,99
TP53 (7157),ABCA13 (154664),0.0803326497275745,0.056688514225866786,-0.02364413550170772,20,99,20,99
TP53 (7157),ABCA2 (20),-0.035601427606633,-0.0070907319965636635,0.028510695610069334,20,99,20,99
